147,99,112
203,109,115
89,70,101
127,75,96
90,64,127
93,71,110
119,85,111
96,151,123
90,78,144
12,128,123
17,108,114
0,147,112
136,119,135
32,223,139
40,177,175
63,136,110
63,96,133
64,127,115
85,98,331
84,385,351
87,310,378
80,343,155
219,79,101
208,99,104
230,80,115
65,111,122
32,203,126
33,167,118
55,104,155
32,115,118
55,71,114
111,79,121
2,95,122
26,64,159
31,67,107
135,64,131
207,109,110
131,116,100
72,181,103
96,111,132
97,80,137
110,84,114
108,63,114
128,87,127
0,95,127
7,96,162
13,119,123
9,116,128
112,126,111
64,126,130
75,112,157
63,99,110
65,63,110
95,67,80
64,81,110
97,40,124
153,99,103
99,95,130
32,103,134
20,127,133
55,64,223
112,83,130
143,104,132
118,101,98
109,100,97
324,102,98
111,101,107
105,132,215
85,72,147
81,70,128
135,76,132
89,71,130
93,57,135
87,54,168
42,53,132
43,75,134
68,87,119
40,72,165
64,93,112
63,71,93
40,109,127
67,75,94
45,70,104
55,90,103
47,87,100
288,127,109
93,103,120
95,80,212
58,103,122
58,77,134
72,77,138
111,79,135
70,64,143
123,75,112
71,71,114
71,83,119
23,78,115
32,142,146
105,75,148
120,149,130
149,105,127
46,103,126
45,98,114
127,109,117
108,88,157
99,103,108
89,62,96
159,75,111
79,63,93
32,191,100
81,84,149
82,102,93
101,111,109
64,151,111
79,137,111
72,159,118
75,84,153
59,115,116
18,70,130
16,83,137
63,67,131
75,62,108
83,66,127
75,118,146
72,152,135
99,120,104
104,213,104
80,119,107
110,75,146
109,76,125
111,63,113
48,115,141
55,109,130
70,133,118
55,122,123
48,162,88
64,199,103
63,140,403
66,120,455
106,340,420
284,298,96
280,338,175
285,91,148
323,95,99
20,91,97
19,75,103
20,76,107
109,57,122
128,115,125
110,112,125
59,128,109
48,119,107
103,94,80
87,68,175
79,91,114
79,64,155
81,79,119
64,84,120
93,82,156
46,53,112
87,32,166
95,57,123
128,95,127
111,74,154
73,74,119
67,71,118
95,79,99
82,90,103
96,103,104
82,75,97
85,90,192
91,85,126
66,64,199
64,151,123
63,115,118
66,116,141
62,74,116
60,93,103
82,81,96
73,73,97
75,74,104
62,90,119
22,70,96
22,118,135
26,101,127
